date,dl_traffic_volume_gb,connected_users
6/11/2025,1082.36,533.85
6/12/2025,1113.6,529.34
6/13/2025,1094.545,540.71
6/14/2025,1150.89,538.33
6/15/2025,1152.67,538.8
6/16/2025,1048.25,507.12
6/17/2025,1116.4,521.97
6/18/2025,1155.57,533.33
6/19/2025,1131.21,543.18
6/20/2025,1141.98,537.64
6/21/2025,1166.9,546.07
6/22/2025,1191.26,569.11
6/23/2025,1142.59,538.44
6/24/2025,1142.76,547.57
6/25/2025,1091.7,530.32
6/26/2025,1084.93,522.06
6/27/2025,1109.72,529.41
6/28/2025,1143.89,552.63
6/29/2025,1103.3,538.23
6/30/2025,1100.36,524.89
7/1/2025,1146.21,540.5
7/2/2025,1146.04,535.32
7/3/2025,1141,542.15
7/4/2025,1141.62,537.14
7/5/2025,1187.35,547.5
7/6/2025,1157.47,550.54
